"","MAX_TEMPERATURE","MIN_TEMPERATURE","LOCAL_TIME","LOCAL_YEAR","LOCAL_MONTH","LOCAL_DAY"
"440",2.2,-0.6,1875-03-16,1875,3,16
"441",5,-1.1,1875-03-17,1875,3,17
"442",3.3,-4.4,1875-03-18,1875,3,18
"443",0,-12.2,1875-03-19,1875,3,19
"444",-5.6,-10.6,1875-03-20,1875,3,20
"445",-2.2,-10.6,1875-03-21,1875,3,21
"446",-2.8,-13.3,1875-03-22,1875,3,22
"447",-5,-17.8,1875-03-23,1875,3,23
"448",-6.1,-17.2,1875-03-24,1875,3,24
"449",-3.3,-16.1,1875-03-25,1875,3,25
"450",1.7,-7.2,1875-03-26,1875,3,26
"451",2.8,-3.3,1875-03-27,1875,3,27
"452",4.4,-2.2,1875-03-28,1875,3,28
"453",2.8,-3.3,1875-03-29,1875,3,29
"454",-1.7,-5.6,1875-03-30,1875,3,30
"455",-3.3,-8.9,1875-03-31,1875,3,31
"456",-2.2,-12.2,1875-04-01,1875,4,1
"457",2.8,-11.7,1875-04-02,1875,4,2
"458",3.9,-4.4,1875-04-03,1875,4,3
"459",8.9,-1.1,1875-04-04,1875,4,4
"460",7.2,-0.6,1875-04-05,1875,4,5
"461",10,0,1875-04-06,1875,4,6
"462",0.6,-6.1,1875-04-07,1875,4,7
"463",-3.3,-7.8,1875-04-08,1875,4,8
"464",-0.6,-7.8,1875-04-09,1875,4,9
"465",-1.1,-11.7,1875-04-10,1875,4,10
"466",0,-5.6,1875-04-11,1875,4,11
"467",0.6,-3.9,1875-04-12,1875,4,12
"468",2.8,-5,1875-04-13,1875,4,13
"469",3.3,-6.1,1875-04-14,1875,4,14
"470",1.7,-2.2,1875-04-15,1875,4,15
"471",3.9,-2.8,1875-04-16,1875,4,16
"472",1.1,-6.1,1875-04-17,1875,4,17
"473",1.7,-3.9,1875-04-18,1875,4,18
"474",3.3,-2.8,1875-04-19,1875,4,19
"475",1.7,-1.1,1875-04-20,1875,4,20
"476",6.1,-3.3,1875-04-21,1875,4,21
"477",2.8,-5,1875-04-22,1875,4,22
"478",7.8,0,1875-04-23,1875,4,23
"479",8.3,0,1875-04-24,1875,4,24
"480",5.6,-3.9,1875-04-25,1875,4,25
"481",1.1,-2.8,1875-04-26,1875,4,26
"482",4.4,-3.3,1875-04-27,1875,4,27
"483",1.7,-4.4,1875-04-28,1875,4,28
"484",7.2,-3.9,1875-04-29,1875,4,29
"485",10,-5,1875-04-30,1875,4,30
"486",1.1,-6.7,1875-05-01,1875,5,1
"487",4.4,-3.9,1875-05-02,1875,5,2
"488",0.6,-5,1875-05-03,1875,5,3
"489",6.1,-2.8,1875-05-04,1875,5,4
"490",2.2,-2.2,1875-05-05,1875,5,5
"491",5.6,-2.2,1875-05-06,1875,5,6
"492",3.9,-2.2,1875-05-07,1875,5,7
"493",2.8,-5,1875-05-08,1875,5,8
"494",3.9,-2.8,1875-05-09,1875,5,9
"495",9.4,-4.4,1875-05-10,1875,5,10
"496",15,3.3,1875-05-11,1875,5,11
"497",16.1,0.6,1875-05-12,1875,5,12
