Station name ,Climate ID,Province/Territory/State,Latitude,Longitude
QUEENSTOWN,3035340,AB,50.6064,-112.9833
QUESNEL A,1096630,BC,53.0261,-122.51
QUINSAM RIVER HATCHERY,1026639,BC,50.0161,-125.3039
QUINTON,4016335,SK,51.35,-104.4167
RANFURLY 2NW,3015405,AB,53.4167,-111.7333
RANKIN INLET A,2303401,NU,62.8167,-92.1167
RAPIDE DES JOACHIMS,7086380,QC,46.2,-77.7
RATTLING BRK NORRIS ARM,8403085,NL,49.0667,-55.3
RAWSON LAKE,6036904,ON,49.65,-93.7167
RED DEER,3025441,AB,52.3108,-113.7922
RED DEER A,3025480,AB,52.1786,-113.8931
RED LAKE A,6016975,ON,51.0669,-93.7931
REGINA GILMOUR,4016651,SK,50.5667,-104.8333
REGINA INT'L A,4016560,SK,50.4333,-104.6667
RESOLUTE CARS,2403500,NU,74.7169,-94.9694
REXTON,8104400,NB,46.6667,-64.8667
RICHMOND HILL,6157012,ON,43.8772,-79.4478
RICHMOND NATURE PARK,1106PF7,BC,49.1708,-123.0931
RIDGEVILLE,6137161,ON,43.0417,-79.325
RIMOUSKI,7056480,QC,48.45,-68.5167
RIVIERE AU TONNERRE,704FEG0,QC,50.2833,-64.7833
RIVIERE DES PRAIRIES,7026612,QC,45.7,-73.5
RIVIERE VERTE OUEST,7016675,QC,46.9833,-71.8333
ROBERVAL A,7066685,QC,48.5167,-72.2667
ROCANVILLE,4016842,SK,50.4667,-101.55
ROCK POINT,4026847,SK,51.1539,-107.2633
RONAN,3065541,AB,53.8833,-115.25
ROSEVILLE,6147188,ON,43.3536,-80.4736
RUDDELL,4046977,SK,52.5833,-107.85
RUSKVIEW,6147229,ON,44.2333,-80.1333
RUSSELL,6107247,ON,45.2628,-75.3595
SAANICHTON CDA,1016940,BC,48.6217,-123.4189
SAANICHTON MT NEWTON,1016RM0,BC,48.5975,-123.4272
SABREVOIS,7026734,QC,45.2167,-73.2
SACKVILLE,8104501,NB,45.85,-64.3833
SAINT JOHN A,8104900,NB,45.3181,-65.8856
SAINT MICHEL,7057567,QC,46.8667,-70.8833
SALMON ARM A,1166R45,BC,50.6856,-119.2336
SALMON HOLE,8205000,NS,44.9333,-64.0333
SALTSPRING ST MARY'S L,1016995,BC,48.8881,-123.5464
SANDSPIT A,1057050,BC,53.2539,-131.8131
SARDIS,1107080,BC,49.0819,-121.8947
SARNIA AIRPORT,6127514,ON,42.9922,-82.3047
SASKATOON DIEFENBAKER INT'L A,4057120,SK,52.1667,-106.7167
SASKATOON SRC,4057180,SK,52.15,-106.6
SASKATOON WATER TP,4057202,SK,52.1167,-106.6833
SAULT STE MARIE A,6057592,ON,46.4833,-84.5094
SCOTT,7027840,QC,46.5,-71.0833
SEPT-ILES A,7047910,QC,50.2167,-66.2667
SEYMOUR FALLS,1107200,BC,49.4403,-122.9711
SHANTY BAY,6117684,ON,44.3995,-79.6328
SHAUNAVON 3,4027486,SK,49.9,-108.4167
SHAWNIGAN LAKE,1017230,BC,48.6469,-123.6264
SHEARWATER A,8205090,NS,44.6333,-63.5
SHEENBORO,7038080,QC,45.9667,-77.25
SHINING BANK,3065885,AB,53.85,-115.9667
SIMONETTE,3075937,AB,54.4247,-117.7411
SIOUX LOOKOUT A,6037775,ON,50.1167,-91.9
SMITHERS A,1077500,BC,54.8247,-127.1828
SOOKE LAKE NORTH,1017563,BC,48.5756,-123.64
SOPS ARM WHITE BAY,8403690,NL,49.7667,-56.8833
SOREL,7028200,QC,46.0333,-73.1167
SOURIS,5012719,MB,49.65,-100.25
SPARWOOD,1157630,BC,49.7453,-114.8828
SPENCES BRIDGE NICOLA,1167637,BC,50.4218,-121.3147
SPOKIN LAKE 4E,1097646,BC,52.1836,-121.6861
SPRINGBANK A,303F0PP,AB,51.1031,-114.3744
SPRINGFIELD,8205200,NS,44.6667,-64.85
ST ALBAN,7016800,QC,46.7167,-72.0833
ST ALEXIS DES MONTS,7016816,QC,46.5333,-73.15
ST ALPHONSE,5012545,MB,49.45,-99.0167
ST AMBROISE,5042546,MB,50.2333,-98.0333
ST AMBROISE,7066820,QC,48.5667,-71.3333
ST ANICET,7026836,QC,45.1333,-74.35
ST CAMILLE,7056930,QC,46.4833,-70.2167
ST CHARLES DE MANDEVILLE,7016960,QC,46.35,-73.35
ST CLAUDE,5022550,MB,49.65,-98.3667
ST COME,7017080,QC,46.2833,-73.75
ST COME DE LINIERE,7027083,QC,46.05,-70.5167
ST EPHREM,7027200,QC,46.0667,-70.9667
ST FERDINAND,7027248,QC,46.1,-71.5833
ST FLAVIEN,7027259,QC,46.4833,-71.5667
ST GEORGES,7027283,QC,46.15,-70.7
ST HIPPOLYTE,7037310,QC,45.9833,-74
ST HYACINTHE 2,7027361,QC,45.5667,-72.9167
ST JOHN'S A,8403506,NL,47.6222,-52.7428
ST LABRE,5022575,MB,49.3525,-96.035
ST LEONARD A,8104928,NB,47.1578,-67.8319
ST LINA,3015672,AB,54.3,-111.45
ST LUDGER,7027516,QC,45.75,-70.6833
ST MALO D AUCKLAND,7027520,QC,45.2,-71.5
ST MARGARET'S BAY,8204800,NS,44.7,-63.9
ST NARCISSE,7017585,QC,46.5333,-72.4333
ST NAZAIRE,7027588,QC,45.7333,-72.6167
ST PIERRE DE BROUGHTON,7027656,QC,46.25,-71.2167
ST PRIME,7067658,QC,48.6167,-72.4167
ST PROSPER,7027660,QC,46.2167,-70.5
ST SEBASTIEN,7027725,QC,45.7667,-70.95
ST THOMAS WPCP,6137362,ON,42.7683,-81.205
ST. ALBERT,6107276,ON,45.2872,-75.0636
STE ANNE DE LA PERADE,7016840,QC,46.5833,-72.2333
STE ANNE DU LAC,7036855,QC,46.85,-75.3333
STE BEATRIX,7016902,QC,46.2,-73.6
STE GENEVIEVE,7027280,QC,45.5,-73.85
STE GERMAINE,7057287,QC,46.4167,-70.4667
STE LUCIE,7057515,QC,46.7333,-70.0167
STE MADELEINE,7027517,QC,45.6167,-73.1333
STE ROSE,5042610,MB,51.0333,-99.3833
STE ROSE DU NORD,7047722,QC,48.4,-70.5333
STE THERESE OUEST,7017755,QC,45.65,-73.8833
STEINBACH,5022780,MB,49.5333,-96.7667
STEPHENVILLE A,8403800,NL,48.5333,-58.55
STEWART A,1067742,BC,55.9361,-129.985
STEWART VALLEY,4027775,SK,50.6,-107.8
STILLWATER POWER HOUSE,1047770,BC,49.7667,-124.3167
STONY MOUNTAIN,5022791,MB,50.1167,-97.1667
STONY RAPIDS A,4067PR5,SK,59.25,-105.8333
STRATFORD WWTP,6148105,ON,43.3689,-81.0047
STRATHCLAIR,5012796,MB,50.4,-100.4
STUIE TWEEDSMUIR LODGE,1067776,BC,52.3681,-126.0672
SUDBURY A,6068150,ON,46.6256,-80.7978
SUFFIELD A,3036240,AB,50.2667,-111.1833
SULLIVAN LAKE,3016253,AB,52.05,-111.95
SUMMERVILLE,8205650,NS,45.1167,-64.1833
SUNDRE GARRINGTON,3026259,AB,51.9667,-114.45
SURREY KWANTLEN PARK,1107873,BC,49.1922,-122.8597
SUSKWA VALLEY,107G879,BC,55.2886,-127.1706
SUSSEX,8105200,NB,45.7167,-65.5333
SUTTON,7028292,QC,45.0667,-72.6833
SWAN RIVER,5042800,MB,52.05,-101.2167
SWIFT CURRENT,8403825,NL,47.8853,-54.2131
SWIFT CURRENT CDA,4028060,SK,50.2667,-107.7333
SYDNEY A,8205700,NS,46.1667,-60.0481
TALOYOAK A,2403854,NU,69.55,-93.5833
TARA,6128206,ON,44.5195,-81.157
TATLAYOKO LAKE,1088010,BC,51.6747,-124.405
TAYLOR FLATS,1188020,BC,56.1667,-120.6878
TERRACE A,1068130,BC,54.4664,-128.5775
TERRACE PCC,1068131,BC,54.5019,-128.6247
THE PAS A,5052880,MB,53.9667,-101.1
THETFORD MINES,7028441,QC,46.1,-71.35
THOMPSON A,5062922,MB,55.8033,-97.8625
THORNBURY SLAMA,611HBEC,ON,44.5736,-80.4853
TIMMINS VICTOR POWER A,6078285,ON,48.5697,-81.3767
TOFIELD NORTH,3016494,AB,53.55,-112.75
TOFINO A,1038205,BC,49.0822,-125.7725
TOPLEY LANDING,1078209,BC,54.8158,-126.1631
TORONTO,6158350,ON,43.6667,-79.4
TORONTO BUTTONVILLE A,615HMAK,ON,43.8622,-79.37
TORONTO LESTER B. PEARSON INT'L A,6158733,ON,43.6772,-79.6306
TREELON,4038116,SK,49,-108.3833
TRENTON A,6158875,ON,44.1167,-77.5333
TROIS RIVIERES AQUEDUC,701HE63,QC,46.3833,-72.6167
TRURO,8205990,NS,45.3667,-63.2667
TUGASKE,4018160,SK,50.8833,-106.3
TURTLE MOUNTAIN 11,5022946,MB,49.1333,-100.1167
TURTLE MOUNTAIN 6,5012941,MB,49.3,-100.3167
TUSKET,8206100,NS,43.8833,-65.9833
TWAN CREEK,1098318,BC,52.4664,-122.6175
ULUKHAKTOK A,2502501,NT,70.7628,-117.8061
UPPER STEWIACKE,8206200,NS,45.2167,-63
VALLEE JONCTION,7028676,QC,46.3833,-70.9333
VALLEYFIELD,7028680,QC,45.2833,-74.1
VALLEYVIEW RS,3076675,AB,55.0667,-117.2667
VANCOUVER INT'L A,1108447,BC,49.195,-123.1819
VANDERHOOF,1098D90,BC,54.0333,-124.0167
VAVENBY,1168520,BC,51.5761,-119.7781
VEGREVILLE,3016GF0,AB,53.5053,-112.0978
VERCHERES,7028700,QC,45.7667,-73.3667
VERNON BELLA VISTA,1128553,BC,50.2642,-119.3101
VICTORIA INT'L A,1018620,BC,48.6472,-123.4258
VINELAND RITTENHOUSE,6139143,ON,43.1667,-79.4167
VIRDEN,5012960,MB,49.8333,-100.95
VOGAR,5043020,MB,50.9167,-98.75
WABASCA RS,3076908,AB,55.9667,-113.8333
WABUSH LAKE A,8504175,NL,52.9272,-66.8742
WARDNER KTNY HATCHERY,1158692,BC,49.4732,-115.4595
WARFIELD,1148700,BC,49.1,-117.75
WASA,1158730,BC,49.8073,-115.6308
WASECA,4048520,SK,53.1309,-109.4039
WATERLOO WELLINGTON A,6149387,ON,43.45,-80.3833
WATERVILLE CAMBRIDGE,8206222,NS,45.05,-64.65
WATROUS,4018640,SK,51.6667,-105.4667
WATSON LAKE A,2101200,YT,60.1165,-128.8223
WAWA A,6059D09,ON,47.9667,-84.7833
WELLAND,6139445,ON,42.9925,-79.2611
WESTWOLD,1168880,BC,50.4689,-119.7506
WETASKIWIN SOUTH,3017286,AB,52.6333,-113.3833
WEYBURN,4018760,SK,49.65,-103.8333
WHALE COVE A,2303986,NU,62.24,-92.5981
WHISTLER,1048898,BC,50.1289,-122.9548
WHITE ROCK,8206316,NS,45.05,-64.3833
WHITECOURT A,3067372,AB,54.1439,-115.7867
WHITEFISH LAKE,6049466,ON,48.2833,-89.9167
WHITEHORSE A,2101300,YT,60.7095,-135.0688
WHITESAND DAM,4068840,SK,56.2333,-103.15
WHITEWOOD,4018880,SK,50.35,-102.2667
WIARTON A,6119500,ON,44.7458,-81.1072
WILLIAM HEAD,1018935,BC,48.3397,-123.5386
WILLIAMS LAKE A,1098940,BC,52.1831,-122.0542
WILLIAMS LAKE RIVER,1098946,BC,52.1281,-122.1489
WILLMAR,4018960,SK,49.4167,-102.5
WINDSOR A,6139525,ON,42.2756,-82.9556
WINDSOR MARTOCK,8206415,NS,44.9333,-64.1667
WINFIELD,1128958,BC,50.0366,-119.4163
WINFIELD,3017595,AB,52.95,-114.5833
WINNIPEG RICHARDSON INT'L A,5023222,MB,49.9167,-97.2333
WINTERLAND,8404240,NL,47.1667,-55.3
WOODDALE BISHOP'S FALLS,8404310,NL,49.0333,-55.55
WOODROW,4029030,SK,49.5667,-106.7833
WOODSTOCK,6149625,ON,43.1361,-80.7706
WOODSTOCK,8105600,NB,46.1703,-67.5536
WRECK COVE BROOK,8206450,NS,46.5333,-60.45
WRIGHT,7038975,QC,46.0667,-76.05
WYNYARD,4019035,SK,51.7667,-104.2
YARMOUTH A,8206500,NS,43.8308,-66.0886
YELLOW GRASS,4019040,SK,49.8167,-104.1833
YELLOWKNIFE A,2204100,NT,62.4628,-114.4403
YORKTON A,4019080,SK,51.2667,-102.4667
