Station name ,Climate ID,Province/Territory/State,Latitude,Longitude
MERRITT STP,1125079,BC,50.1142,-120.8008
MERRY ISLAND LIGHTSTATION,1045100,BC,49.4675,-123.9125
METCHOSIN,1015105,BC,48.3742,-123.5614
MIAMI ORCHARD,5021736,MB,49.3667,-98.2833
MICA DAM,1175122,BC,52.0531,-118.5853
MIDDLE MUSQUODOBOIT,8203535,NS,45.0667,-63.1
MIDDLEBORO,8203510,NS,45.7667,-63.5667
MILAN,7024920,QC,45.5833,-71.1167
MILLGROVE,6155183,ON,43.3167,-79.9667
MINDEN,6165195,ON,44.9333,-78.7167
MINE CENTRE,6025203,ON,48.7667,-92.6167
MIRAMICHI A,8101000,NB,47.0095,-65.4678
MISSION WEST ABBEY,1105192,BC,49.1525,-122.2706
MONARCH,3034596,AB,49.8145,-113.1609
MONCTON,8103100,NB,46.1014,-64.7903
MONCTON A,8103200,NB,46.1053,-64.6838
MONITOR,3014600,AB,52.0167,-110.55
MONT BRUN,7085106,QC,48.4167,-78.7333
MONT-JOLI A,7055120,QC,48.6,-68.2167
MONTEBELLO (SEDBERGH),7035110,QC,45.7,-74.9333
MONTICELLO,8300447,PE,46.4667,-62.4667
MONTREAL/MIRABEL INT'L A,7035290,QC,45.6667,-74.0333
MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,QC,45.4667,-73.75
MONTREAL/ST-HUBERT A,7027320,QC,45.5167,-73.4167
MOOSE WALLOW,3064657,AB,54.2333,-115.0167
MOOSONEE UA,6075425,ON,51.2667,-80.65
MORRIS 2,5021965,MB,49.4333,-97.4833
MORRISBURG,6105460,ON,44.9236,-75.1883
MOSSLEIGH,3034675,AB,50.6594,-113.2814
MOSSLEIGH BURNAY,3034676,AB,50.7172,-113.3019
MOUNT CARLETON,8103256,NB,47.4167,-66.9333
MOUNTAIN VIEW,3034720,AB,49.127,-113.63
MOUNTAINVIEW,615EMR7,ON,44.052,-77.3017
MUD BAY,1025240,BC,49.4708,-124.7942
MUENSTER,4015440,SK,52.3333,-105
MUNCHO LAKE,1195250,BC,58.93,-125.7667
MUSGRAVE HARBOUR,8402770,NL,49.45,-53.9833
MUSKOKA A,6115525,ON,44.9667,-79.3
MYRTLE,5021975,MB,49.4,-97.7833
N VAN SEYMOUR HATCHERY,110N666,BC,49.4375,-122.9669
N VANC SONORA DR,110N6FF,BC,49.3625,-123.0975
N VANCOUVER 2ND NARROWS,1105666,BC,49.2979,-123.0149
N VANCOUVER WHARVES,1105669,BC,49.3148,-123.1153
NAIN A,8502800,NL,56.55,-61.6833
NANAIMO A,1025370,BC,49.0544,-123.87
NANAIMO CITY YARD,10253G0,BC,49.1991,-123.9879
NAPPAN CDA,8203700,NS,45.7667,-64.25
NARCISSE,5031991,MB,50.6667,-97.65
NASS CAMP,1075384,BC,55.2375,-129.0297
NATASHQUAN A,7045400,QC,50.1833,-61.8167
NEEPAWA WATER,5042005,MB,50.2167,-99.4667
NEW DENVER,1145460,BC,49.9958,-117.3703
NEW GLASGOW,6135583,ON,42.5145,-81.6361
NEW GLASGOW,8300497,PE,46.4089,-63.3503
NIAGARA FALLS NPCSH,6135657,ON,43.1333,-79.05
NICOLET,7025440,QC,46.2,-72.6167
NICTAU,8103700,NB,47.2333,-67.15
NIPAWIN A,4075518,SK,53.3333,-104
NITINAT RIVER HATCHERY,1035612,BC,48.8594,-124.6553
NOKOMIS,4015560,SK,51.5167,-105
NOMININGUE,7035520,QC,46.4,-75.0833
NOOTKA LIGHTSTATION,1035614,BC,49.6,-126.6167
NORDEGG RS,3054845,AB,52.5,-116.05
NORMAN WELLS A,2202800,NT,65.2825,-126.8003
NORTH BATTLEFORD A,4045600,SK,52.7719,-108.2556
NORTH BAY A,6085700,ON,46.3636,-79.4228
NORTH COWICHAN,1015628,BC,48.8242,-123.7183
NORWAY HOUSE A,506B047,MB,53.95,-97.85
NOTRE DAME DES BOIS,7025670,QC,45.4,-71.0833
O'LEARY,8300525,PE,46.7003,-64.2617
OAKNER,5012054,MB,50.1,-100.6333
OKA,7015730,QC,45.5,-74.0667
OLD CROW A,2100800,YT,67.5706,-139.8392
OLDS,3024920,AB,51.7833,-114.1
OLIVER STP,1125766,BC,49.179,-119.5447
OOTSA L SKINS L SPILLWAY,1085835,BC,53.7722,-125.9966
ORANGEVILLE MOE,6155790,ON,43.9184,-80.0864
ORMSTOWN,7025745,QC,45.1167,-74.05
OSHAWA WPCP,6155878,ON,43.8667,-78.8333
OSOYOOS WEST,1125865,BC,49.0319,-119.4428
OSTENFELD,503B0NE,MB,49.8167,-96.4833
OTTAWA CDA,6105976,ON,45.3833,-75.7167
OTTAWA MACDONALD-CARTIER INT'L A,6106000,ON,45.3225,-75.6692
OUTLOOK PFRA,4055736,SK,51.4833,-107.05
OWEN SOUND MOE,6116132,ON,44.5833,-80.9333
PACHENA POINT,1035940,BC,48.7228,-125.0972
PADDLE RIVER,3064964,AB,54.0333,-114.75
PARADISE VALLEY,3014995,AB,53.1167,-110.35
PARRSBORO,8204400,NS,45.4,-64.3333
PASWEGIN,4015960,SK,51.9833,-103.9167
